,분류,명칭,위도,경도
44,보안등,역삼1동835-68,37.4923096847,127.03577788700001
45,보안등,역삼1동835-68,37.4923096847,127.03577788700001
46,보안등,역삼1동835-68,37.4923096847,127.03577788700001
47,보안등,역삼1동793-24,37.4924969299,127.036316229
48,보안등,역삼1동835-68,37.4923096847,127.03577788700001
49,보안등,역삼1동793-12,37.4928573077,127.03639782
50,보안등,역삼1동835-68,37.4923096847,127.03577788700001
51,보안등,역삼1동835-68,37.4923096847,127.03577788700001
52,보안등,역삼1동835-68,37.4923096847,127.03577788700001
53,보안등,역삼1동835-68,37.4923096847,127.03577788700001
54,보안등,역삼1동835-68,37.4923096847,127.03577788700001
55,보안등,역삼1동835-68,37.4923096847,127.03577788700001
56,보안등,역삼1동835-68,37.4923096847,127.03577788700001
57,보안등,역삼1동835-68,37.4923096847,127.03577788700001
58,보안등,역삼1동835-68,37.4923096847,127.03577788700001
59,보안등,역삼1동835-68,37.4923096847,127.03577788700001
60,보안등,역삼1동835-68,37.4923096847,127.03577788700001
61,보안등,역삼1동835-68,37.4923096847,127.03577788700001
62,보안등,역삼1동835-68,37.4923096847,127.03577788700001
63,보안등,역삼1동 652-16,37.5073706664,127.036549634
64,보안등,역삼1동 658-7,37.5069959029,127.036373015
65,보안등,역삼1동 652-15,37.5075040598,127.03640493
66,보안등,역삼1동 651-15,37.5071870406,127.035965946
67,보안등,역삼1동 658-5,37.5070139827,127.036178492
68,보안등,역삼1동 651-16,37.5071294312,127.035784958
69,보안등,역삼1동 651-16,37.5071294312,127.035784958
70,보안등,역삼1동 651-2,37.5073997955,127.03557698200001
71,보안등,역삼1동 658-1,37.5068807703,127.035730552
72,보안등,역삼1동748-18,37.4956684085,127.036530361
73,보안등,역삼1동748-29,37.4956178848,127.036747455
74,보안등,역삼1동745-19,37.496547596199996,127.037155015
75,보안등,역삼1동746-16,37.4967565038,127.037553176
76,보안등,역삼1동746-16,37.4967565038,127.037553176
77,보안등,역삼1동746-7,37.4970483404,127.03783377399999
78,보안등,역삼1동746-9,37.497159956,127.038173086
79,보안등,역삼1동746-29,37.4972105389,127.037779575
80,보안등,역삼1동745-6,37.4972899627,127.03735441299999
81,보안등,역삼1동738-32,37.4978304095,127.037847739
82,보안등,역삼1동745-3,37.4975673908,127.03761238700001
83,보안등,역삼1동745-3,37.4975673908,127.03761238700001
84,보안등,역삼1동738-4,37.4987533319,127.03692540899999
85,보안등,역삼1동738-42,37.497697351199996,127.036929412
86,보안등,역삼1동745-8,37.497369375,127.036960915
87,보안등,역삼1동745-8,37.497369375,127.036960915
88,보안등,역삼1동744-10,37.4968902194,127.03638168399999
89,보안등,역삼1동745-20,37.496652229,127.036784149
90,보안등,역삼1동744-9,37.4967496804,127.036322811
91,보안등,역삼1동748,37.4962847291,127.036426623
92,보안등,역삼1동748-1,37.496241427600005,127.03659849
93,보안등,역삼1동748-23,37.4961116321,127.036761267
94,보안등,역삼1동748,37.4962847291,127.036426623
95,보안등,역삼1동748-4,37.496003660999996,127.036277217
96,보안등,역삼1동748-4,37.496003660999996,127.036277217
97,보안등,역삼1동 624-10,37.5041322368,127.031006359
98,보안등,역삼1동 624-38,37.5037935731,127.030567409
99,보안등,역삼1동 624-38,37.5037935731,127.030567409
100,보안등,역삼1동 624-38,37.5037935731,127.030567409
101,보안등,역삼1동 624-38,37.5037935731,127.030567409
102,보안등,역삼1동 624-38,37.5037935731,127.030567409
103,보안등,역삼1동 624-38,37.5037935731,127.030567409
104,보안등,역삼1동 624-45,37.5037825775,127.031268595
105,보안등,역삼1동 624-15,37.5038437762,127.03153100200001
106,보안등,역삼1동 624-15,37.5038437762,127.03153100200001
107,보안등,역삼1동 624-15,37.5038437762,127.03153100200001
108,보안등,역삼1동 624-12,37.5043663774,127.03146336399999
109,보안등,역삼1동 612-8,37.5045068652,127.031721283
110,보안등,역삼1동 612-7,37.5046906301,127.031870649
111,보안등,역삼1동 610-7,37.5050689702,127.03217391
112,보안등,역삼1동 612-6,37.5047915926,127.03168521299999
113,보안등,역삼1동 612-5,37.5049285817,127.031549554
114,보안등,역삼1동 613-24,37.5051917988,127.031083703
115,보안등,역삼1동 611,37.5054476389,127.031255718
116,보안등,역삼1동 611,37.5054476389,127.031255718
117,보안등,역삼1동 605,37.5064025582,127.03180351700001
118,보안등,역삼1동 605,37.5064025582,127.03180351700001
119,보안등,역삼1동 610,37.5055879504,127.032169609
120,보안등,역삼1동 610,37.5055879504,127.032169609
121,보안등,역삼1동 611-3,37.5054727635,127.031644785
122,보안등,역삼1동 611-3,37.5054727635,127.031644785
123,보안등,역삼1동 610,37.5055879504,127.032169609
124,보안등,역삼1동 610,37.5055879504,127.032169609
125,보안등,역삼1동 610,37.5055879504,127.032169609
126,보안등,역삼1동 652-13,37.5075039773,127.036671848
127,보안등,역삼1동 635-13,37.499879887,127.029453013
128,보안등,역삼1동 635-11,37.4999772964,127.02904592899999
129,보안등,역삼1동 819-4,37.4995267409,127.02925836200001
130,보안등,역삼1동 649-2,37.4997536061,127.03000936299999
131,보안등,역삼1동 649-2,37.4997536061,127.03000936299999
