,LINK_NO,RDS_MAN_NO,RN,RN_CD,SP,EP,LUX
1378,LINK_1378,1180,테헤란로19길,4166721,"[37.50350651097809, 127.03273225999786]","[37.50320545185769, 127.03172555696213]",85.191
1379,LINK_1379,1227,테헤란로19길,4166721,"[37.50464684827273, 127.03130916512954]","[37.50390208761688, 127.03067783533922]",85.191
1380,LINK_1380,1227,테헤란로19길,4166721,"[37.50390208761688, 127.03067783533922]","[37.50389903387831, 127.03067522166668]",56.794
1381,LINK_1381,1317,테헤란로19길,4166721,"[37.50221603117871, 127.03296239660664]","[37.502241165066906, 127.03284167004163]",52.754
1382,LINK_1382,1317,테헤란로19길,4166721,"[37.502241165066906, 127.03284167004163]","[37.50219477349624, 127.03256545735262]",81.151
1383,LINK_1383,1317,테헤란로19길,4166721,"[37.50219477349624, 127.03256545735262]","[37.50235529150732, 127.032477176151]",137.945
1384,LINK_1384,1317,테헤란로19길,4166721,"[37.50235529150732, 127.032477176151]","[37.502256214210576, 127.03214500635264]",137.945
1385,LINK_1385,1542,테헤란로19길,4166721,"[37.50185948806809, 127.03299628762876]","[37.501987882496465, 127.03342486859495]",159.719
1386,LINK_1386,1542,테헤란로19길,4166721,"[37.501987882496465, 127.03342486859495]","[37.50185212493393, 127.03357324341174]",137.945
1387,LINK_1387,1542,테헤란로19길,4166721,"[37.50185212493393, 127.03357324341174]","[37.50185164725136, 127.03357380866501]",52.754
1388,LINK_1388,1624,테헤란로19길,4166721,"[37.50153624888425, 127.03315359724434]","[37.501527475088956, 127.03312571154758]",85.191
1389,LINK_1389,1624,테헤란로19길,4166721,"[37.501527475088956, 127.03312571154758]","[37.50147783217106, 127.032967932301]",85.191
1390,LINK_1390,1624,테헤란로19길,4166721,"[37.50147783217106, 127.032967932301]","[37.50145264401269, 127.03288787753976]",56.794
1391,LINK_1391,1624,테헤란로19길,4166721,"[37.50145264401269, 127.03288787753976]","[37.501434774259, 127.03283108714065]",85.191
1392,LINK_1392,1624,테헤란로19길,4166721,"[37.501434774259, 127.03283108714065]","[37.50152198392674, 127.03278943821869]",85.191
1393,LINK_1393,1624,테헤란로19길,4166721,"[37.50152198392674, 127.03278943821869]","[37.50157816819686, 127.03276293048285]",56.794
1394,LINK_1394,1624,테헤란로19길,4166721,"[37.50157816819686, 127.03276293048285]","[37.5016583581291, 127.03272480692631]",85.191
1395,LINK_1395,1625,테헤란로19길,4166721,"[37.50152198392674, 127.03278943821869]","[37.50146467552687, 127.03260315359009]",56.794
1396,LINK_1396,518,테헤란로1길,4166722,"[37.49818700137485, 127.02839073356266]","[37.49875820621008, 127.02811862517099]",21.774
1397,LINK_1397,518,테헤란로1길,4166722,"[37.49875820621008, 127.02811862517099]","[37.49926431529261, 127.02787752101645]",87.096
1398,LINK_1398,518,테헤란로1길,4166722,"[37.49926431529261, 127.02787752101645]","[37.49974694133835, 127.0276476011738]",102.925
1399,LINK_1399,518,테헤란로1길,4166722,"[37.49974694133835, 127.0276476011738]","[37.5001744200135, 127.02744395251001]",78.568
1400,LINK_1400,518,테헤란로1길,4166722,"[37.5001744200135, 127.02744395251001]","[37.50060303368364, 127.0272397590849]",28.397
1401,LINK_1401,518,테헤란로1길,4166722,"[37.50060303368364, 127.0272397590849]","[37.50173813808296, 127.02669898386995]",56.794
1402,LINK_1402,1025,테헤란로1길,4166722,"[37.5001744200135, 127.02744395251001]","[37.50029875961016, 127.02784333591556]",28.397
1403,LINK_1403,1025,테헤란로1길,4166722,"[37.50029875961016, 127.02784333591556]","[37.50032545508326, 127.0279290782046]",85.191
1404,LINK_1404,1025,테헤란로1길,4166722,"[37.50032545508326, 127.0279290782046]","[37.50063745885017, 127.0289312756038]",85.191
1405,LINK_1405,550,테헤란로20길,4166723,"[37.499915453853994, 127.03394237346761]","[37.49927234287618, 127.03425478261325]",0.0
1406,LINK_1406,550,테헤란로20길,4166723,"[37.49927234287618, 127.03425478261325]","[37.498889231486466, 127.03444089231316]",106.965
1407,LINK_1407,550,테헤란로20길,4166723,"[37.498889231486466, 127.03444089231316]","[37.49823996441624, 127.0347562869666]",0.0
1408,LINK_1408,550,테헤란로20길,4166723,"[37.49823996441624, 127.0347562869666]","[37.49733841785113, 127.03519422624777]",28.397
1409,LINK_1409,1069,테헤란로21길,4166724,"[37.500152912646435, 127.0347188203477]","[37.500859690389454, 127.0343701714815]",24.357
1410,LINK_1410,1069,테헤란로21길,4166724,"[37.500859690389454, 127.0343701714815]","[37.500901116809956, 127.03450486858284]",238.28699999999995
1411,LINK_1411,1069,테헤란로21길,4166724,"[37.500901116809956, 127.03450486858284]","[37.50104887455197, 127.03442955891107]",188.11599999999999
1412,LINK_1412,1069,테헤란로21길,4166724,"[37.50104887455197, 127.03442955891107]","[37.501671717425324, 127.0343301763056]",188.11599999999999
1413,LINK_1413,1069,테헤란로21길,4166724,"[37.501671717425324, 127.0343301763056]","[37.501663779761635, 127.03423223584463]",81.151
1414,LINK_1414,1069,테헤란로21길,4166724,"[37.501663779761635, 127.03423223584463]","[37.502036225090535, 127.03407059794405]",81.151
1415,LINK_1415,551,테헤란로22길,4166725,"[37.49949836641357, 127.03499788038552]","[37.49846558887523, 127.0354977360843]",135.362
1416,LINK_1416,551,테헤란로22길,4166725,"[37.49846558887523, 127.0354977360843]","[37.497941747353686, 127.035749837925]",28.397
1417,LINK_1417,551,테헤란로22길,4166725,"[37.497941747353686, 127.035749837925]","[37.4974468674261, 127.03598800620165]",85.191
1418,LINK_1418,551,테헤란로22길,4166725,"[37.4974468674261, 127.03598800620165]","[37.4971158096975, 127.03584569569858]",102.925
